bb,Unnamed: 0
"('add $0x28, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",7.333333333333333
"('add $0x28, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %r15', 'popq  %rbp', 'retq')",8.0
"('add $0x28, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",10.0
"('add $0x28, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",7.0
"('add $0x28, %rsp', 'retq')",8.0
"('add $0x28, %rsp', 'vmovapd %xmm1, %xmm0', 'popq  %rbx', 'popq  %rbp', 'retq')",9.0
"('add $0x30, %r12d', 'jmp 0xffffffffffffff6c')",8.5
"('add $0x30, %rsp', 'popq  %rbp', 'retq')",3.0
"('add $0x30, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",6.333333333333333
"('add $0x3648, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",12.0
"('add $0x38, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",7.333333333333333
"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",5.916666666666667
"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",6.916666666666667
"('add $0x40, %rsp', 'vmovapd %xmm4, %xmm0', 'popq  %rbx', 'retq')",12.0
"('add $0x448, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",13.0
"('add $0x48, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",9.5
"('add $0x48, %rsp', 'retq')",14.0
"('add $0x58, %rsp', 'retq')",18.0
"('add $0x68, %rsp', 'popq  %rbp', 'popq  %r12', 'retq')",8.0
"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",8.416666666666666
"('add $0x8, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",20.0
"('add $0x8, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",13.666666666666666
"('add $0x8, %rsp', 'mov %r12, %rdx', 'mov %rbp, %rsi', 'mov %rax, %rdi', 'popq  %rbp', 'popq  %r12', 'jmp 0xfffffffffffd7dbc')",22.0
"('add $0x8, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %r12', 'retq')",13.0
"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",9.75
"('add $0x8, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'retq')",24.0
"('add $0x8, %rsp', 'mov %r8d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",25.0
"('add $0x8, %rsp', 'mov %rbp, %rdi', 'xor %esi, %esi', 'popq  %rbx', 'popq  %rbp', 'jmp 0x1ccb')",16.666666666666668
"('add $0x8, %rsp', 'popq  %rbp', 'popq  %r12', 'retq')",16.5
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x919f8')",8.428571428571429
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x91b68')",12.0
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x91bf8')",13.0
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x91da8')",7.0
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x92168')",7.5
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x92558')",14.0
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x925e8')",16.0
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xafb68')",10.5
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xafb78')",17.0
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xafb88')",10.0
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xb4438')",28.0
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",12.125
"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",13.25
"('add $0x8, %rsp', 'retq')",14.285714285714286
"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",13.75
"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",14.75
"('add $0xb8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",32.0
"('add $0xd8, %rsp', 'retq')",15.791666666666666
"('add %eax, %r9d', 'jmp 0xfffffffffffff9e6')",20.2
"('add %ebx, %r9d', 'jmp 0xfffffffffffff57f')",22.666666666666668
"('add %ebx, %r9d', 'jmp 0xfffffffffffffe40')",15.0
"('add %ecx, %ebx', 'movl  %ecx, -0x4f0(%rbp)', 'sub %ebx, %r10d', 'mov %r10d, %ebx', 'jmp 0xfffffffffffff8aa')",16.285714285714285
"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')",17.5
"('add %r14, %rbx', 'mov %rbx, %rax', 'or $0x1, %rax', 'movq  %rax, 0x8(%r12)', 'movq  %r12, 0x60(%rbp)', 'jmp 0xfffffffffffffc8c')",19.0
"('add %r15, %rdi', 'mov %r14, %rdx', 'mov %r8, %rsi', 'callq  0xfffffffffffe85e8', 'jmpq  0xc1ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'cmp $0x20, %rdx', 'jb 0x4b')",21.0
"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')",18.91304347826087
"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')",19.91304347826087
"('add %rax, %r12', 'movq  0x18(%rsp), %rax', 'xorq  %fs:0x28, %rax', 'jnz 0x1b')",27.0
"('add %rbp, %r12', 'mov %rbx, %rdx', 'mov %r13, %rdi', 'add %r14, %r12', 'mov %r12, %rsi', 'callq  0xfffffffffffaf75d', 'jmpq  0xe5ff2(%rip)', 'nop %edi, %edx', 'cmp $0x20, %rdx', 'jb 0x1a8')",39.0
"('add %rbx, %rax', 'movq  0x8(%rax), %r8', 'lea -0x10(%rax), %rcx', 'cmp %r8, %rcx', 'jz 0x374')",25.666666666666668
"('add %rbx, %rdi', 'add %rbx, %r14', 'movq  %rdi, 0x28(%r12)', 'jmp 0xfffffffffffffef4')",20.5
"('add %rcx, %rax', 'movq  %rcx, 0x28(%rsp)', 'lea (%rax,%rdx,2), %rdx', 'movq  0x8(%rsp), %rax', 'add %rcx, %rax', 'add %r12, %rax', 'addq  0x10(%rsp), %rax', 'lea (%rax,%rdx,8), %r15', 'mov %r15, %rdi', 'callq  0xfffffffffffd39fa', 'nop %edi, %edx', 'pushq  %r12', 'movq  0xc1143(%rip), %rax', 'pushq  %rbp', 'mov %rdi, %rbp', 'pushq  %rbx', 'test %rax, %rax', 'jnz 0x15b')",41.0
"('add %rcx, %rsi', 'bsf %edx, %edx', 'cmp $0x20, %edx', 'jnb 0x134')",18.0
"('add %rdi, %rax', 'vzeroupper', 'retq')",25.0
"('add %rdi, %rbp', 'lea (%rcx,%rcx,4), %r9', 'lea (%rax,%rax,2), %rax', 'mov %r13, %rdi', 'lea (%rbp,%r14,1), %r10', 'add %r9, %r10', 'lea (%r10,%rax,2), %rax', 'lea (%rax,%rdx,8), %rsi', 'mov $0x1, %edx', 'callq  0x2e2f4', 'nop %edi, %edx', 'pushq  %r13', 'pushq  %r12', 'mov %edx, %r12d', 'pushq  %rbp', 'mov %rsi, %rbp', 'pushq  %rbx', 'mov %rdi, %rbx', 'sub $0x8, %rsp', 'movl  (%rdi), %edx', 'and $0x8000, %edx', 'jnz 0x3b')",42.0
"('add %rdx, %rax', 'movq  %rax, 0x90(%rbx)', 'movq  0x8(%rbx), %rax', 'movzxb  (%rax), %eax', 'add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",43.0
"('add %rsi, %rdx', 'mov $0xffffffffffffffff, %rbx', 'cmp %rdx, %rsi', 'cmovb %rdx, %rbx', 'jmp 0xffffffffffffff90')",19.0
"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')",21.695652173913043
"('addl  $0x1, -0x654(%rbp)', 'jmp 0xffffffffffffef98')",24.4
"('addl  $0x1, -0x654(%rbp)', 'movl  $0x0, -0x620(%rbp)', 'jmp 0xffffffffffffe2a1')",31.0
"('addl  $0x1, -0x654(%rbp)', 'movl  $0x0, -0x620(%rbp)', 'movq  %rbx, -0x6b8(%rbp)', 'movq  $0x0, -0x680(%rbp)', 'jmp 0xffffffffffffdd05')",24.0
"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')",23.0
"('addq  %r12, 0x8(%rbx)', 'jmp 0xffffffffffffffa1')",46.0
"('addq  %r14, 0x8(%rbx)', 'test %r13, %r13', 'jnz 0x11c')",28.0
"('addq  0x96eb8(%rip), %rdx', 'add $0x1, %r15', 'cmpq  %r15, 0x96eb5(%rip)', 'movb  %al, 0x5(%rdx)', 'movl  0x110(%rsp), %eax', 'bswap %eax', 'movl  %eax, (%rdx)', 'jnbe 0xffffffffffffff65')",47.0
"('addsd %xmm2, %xmm2', 'movapd %xmm2, %xmm0', 'jmp 0xc0')",30.0
"('and $0x1, %edi', 'jz 0x133')",48.0
"('and $0x1, %edx', 'jnz 0x645')",27.0
"('and $0x1, %esi', 'test %ebx, %ebx', 'jz 0x1615')",24.571428571428573
"('and $0x10, %ebx', 'jz 0xac')",34.0
"('and $0x10, %ebx', 'jz 0xfffffffffffff577')",28.6
"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",24.375
"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1d')",29.818181818181817
"('and $0x2, %ecx', 'jz 0xfffffffffffffd30')",34.0
"('and $0x8000, %eax', 'jz 0x480')",27.875
"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",26.208333333333332
"('and $0xf7, %dh', 'movq  %rax, 0x8(%rbx)', 'movl  %edx, (%rbx)', 'movq  %rax, 0x30(%rbx)', 'movq  %rax, 0x20(%rbx)', 'xor %eax, %eax', 'add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",41.5
"('and $0xfff, %eax', 'sub %rax, %rsp', 'test %rax, %rax', 'jz 0x8')",32.6
"('and $0xfff, %edx', 'sub %rdx, %rsp', 'test %rdx, %rdx', 'jnz 0x939')",33.6
"('and $0xfff, %edx', 'sub %rdx, %rsp', 'test %rdx, %rdx', 'jz 0x8')",34.6
"('and $0xffffffffffffffe0, %rsi', 'and $0x1f, %ecx', 'vpcmpeqby  (%rsi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %edx', 'shr %cl, %rdx', 'test %edx, %edx', 'jnz 0x205')",24.0
"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",27.958333333333332
"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",28.958333333333332
"('and $0xfffffffffffffff8, %rax', 'cmpq  0x888(%rbp), %rax', 'jnb 0x233')",38.0
"('andl  $0xffffffef, (%rbx)', 'add $0x18, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",32.25
"('andq  $0xfffffffffffffffe, 0x8(%r13)', 'movq  0x70(%rbp), %rax', 'lea 0x60(%rbp), %rdx', 'cmpq  %rdx, 0x18(%rax)', 'jnz 0x5d6')",55.0
"('bsf %r8, %rax', 'add %rdi, %rax', 'cmpb  $0x0, (%rax)', 'jz 0x40')",39.0
"('bsrq  0x78(%rsp,%r9,8), %rax', 'mov %r9d, %r10d', 'lea -0x1(%r9), %rdx', 'shl $0x6, %r10d', 'xor $0x3f, %rax', 'sub %eax, %r10d', 'movl  %r10d, (%rsp)', 'cmp $0x4000, %r10d', 'jnle 0x351')",46.0
"('btc $0x33, %rsi', 'vmovsdq  0xb2036(%rip), %xmm0', 'mov $0xfff0000000000000, %rdx', 'lea (%rsi,%rsi,1), %rax', 'cmp %rdx, %rax', 'jbe 0xfffffffffffffec5')",27.0
"('bts $0x34, %rsi', 'mov $0x1, %eax', 'movq  %rsi, (%rdi)', 'retq')",36.0
"('callq  %rax', '([vdso]) \t\tlea -0x4967(%rip), %rax', '([vdso]) \t\tlea -0x196e(%rip), %rdx', '([vdso]) \t\tcmpl  $0x7fffffff, -0x4974(%rip)', '([vdso]) \t\tcmovz %rdx, %rax', '([vdso]) \t\tmovq  0x20(%rax), %rax', '([vdso]) \t\ttest %rdi, %rdi', '([vdso]) \t\tjz 0x7ffd36673a08', '([vdso]) \t\tretq', 'cmp $0xfffffffffffff000, %rax', 'jbe 0x1a')",57.0
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0x15f685(%rip)', 'jnz 0x2d')",40.0
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc2645(%rip)', 'jnz 0x2d')",28.0
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc2695(%rip)', 'jnz 0x2d')",23.428571428571427
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc2755(%rip)', 'jnz 0x2d')",27.0
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc3695(%rip)', 'jnz 0x2d')",37.0
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc3755(%rip)', 'jnz 0x2d')",26.666666666666668
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc37c5(%rip)', 'jnz 0x2d')",40.0
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xe1675(%rip)', 'jnz 0x2d')",33.4
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xe2675(%rip)', 'jnz 0x2d')",33.0
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xe5695(%rip)', 'jnz 0x2d')",28.0
"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xe7645(%rip)', 'jnz 0x2d')",58.0
"('callq  0x248', 'nop %edi, %edx', 'pushq  %rbx', 'xor %r10, %r10', 'movq  (%rsi), %rax', 'mov %rdx, %rbx', 'mul %rcx', 'mov %rbx, %r11', 'add %r10, %rax', 'adc $0x0, %rdx', 'and $0x3, %ebx', 'jz 0x34')",41.333333333333336
"('callq  0x3437f', 'nop %edi, %edx', 'pushq  %r12', 'mov %esi, %r10d', 'mov %esi, %r12d', 'pushq  %rbp', 'mov %rdi, %rbp', 'sub $0x68, %rsp', 'movq  %rdx, 0x40(%rsp)', 'movq  %fs:0x28, %rax', 'movq  %rax, 0x28(%rsp)', 'xor %eax, %eax', 'and $0x40, %r10d', 'jnz 0x5b')",29.0
"('callq  0x3451f', 'nop %edi, %edx', 'pushq  %r12', 'mov %esi, %r10d', 'mov %esi, %r12d', 'pushq  %rbp', 'mov %rdi, %rbp', 'sub $0x68, %rsp', 'movq  %rdx, 0x40(%rsp)', 'movq  %fs:0x28, %rax', 'movq  %rax, 0x28(%rsp)', 'xor %eax, %eax', 'and $0x40, %r10d', 'jnz 0x5b')",36.0
"('callq  0x35458', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",24.7
"('callq  0x35478', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",30.0
"('callq  0x354e8', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",39.333333333333336
"('callq  0x35618', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",37.0
"('callq  0x356a8', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",34.625
"('callq  0x37e90', 'nop %edi, %edx', 'sub $0x58, %rsp', 'mov %esi, %r10d', 'mov %rdi, %r9', 'mov %esi, %r8d', 'movq  %rdx, 0x30(%rsp)', 'movq  %fs:0x28, %rax', 'movq  %rax, 0x18(%rsp)', 'xor %eax, %eax', 'and $0x40, %r10d', 'jnz 0x46')",59.0
"('callq  0x384b8', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",60.0
"('callq  0x4ef50', 'nop %edi, %edx', 'pushq  %r13', 'pushq  %r12', 'pushq  %rbp', 'movl  %fs:0x18, %ebp', 'xor %r12d, %r12d', 'test %ebp, %ebp', 'setnz %r12b', 'xor %edi, %edi', 'mov %r12d, %esi', 'callq  0x25251', 'nop %edi, %edx', 'pushq  %r12', 'pushq  %rbp', 'pushq  %rbx', 'mov %esi, %ebx', 'test %edi, %edi', 'jnz 0x74')",38.0
